"StichtagDatJahr","DatenstandCd","GbdArtSSZPubl1Sort","GbdArtSSZPubl1Cd","GbdArtSSZPubl1Lang","AnzNeubauGbd_noDM","AnzAbbruchGbd_noDM"
1983,"D",3,"3","Wohnhäuser mit Geschäftsräumen",34,29
1983,"D",4,"4","Nichtwohngebäude",142,151
1984,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",14,17
1984,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",97,23
1984,"D",3,"3","Wohnhäuser mit Geschäftsräumen",36,22
1984,"D",4,"4","Nichtwohngebäude",141,105
1985,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",6,15
1985,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",99,19
1985,"D",3,"3","Wohnhäuser mit Geschäftsräumen",43,19
1985,"D",4,"4","Nichtwohngebäude",153,139
1986,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",14,16
1986,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",85,14
1986,"D",3,"3","Wohnhäuser mit Geschäftsräumen",31,13
1986,"D",4,"4","Nichtwohngebäude",105,115
1987,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",0,18
1987,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",53,25
1987,"D",3,"3","Wohnhäuser mit Geschäftsräumen",33,23
1987,"D",4,"4","Nichtwohngebäude",60,201
1988,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",6,15
1988,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",44,19
1988,"D",3,"3","Wohnhäuser mit Geschäftsräumen",22,15
1988,"D",4,"4","Nichtwohngebäude",54,137
1989,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",9,18
1989,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",36,19
1989,"D",3,"3","Wohnhäuser mit Geschäftsräumen",32,11
1989,"D",4,"4","Nichtwohngebäude",50,96
1990,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",58,22
1990,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",32,25
1990,"D",3,"3","Wohnhäuser mit Geschäftsräumen",27,18
1990,"D",4,"4","Nichtwohngebäude",58,102
1991,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",52,19
1991,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",81,12
1991,"D",3,"3","Wohnhäuser mit Geschäftsräumen",67,10
1991,"D",4,"4","Nichtwohngebäude",90,131
1992,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",17,32
1992,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",41,16
1992,"D",3,"3","Wohnhäuser mit Geschäftsräumen",28,9
1992,"D",4,"4","Nichtwohngebäude",102,98
1993,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",31,8
1993,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",79,13
1993,"D",3,"3","Wohnhäuser mit Geschäftsräumen",24,9
1993,"D",4,"4","Nichtwohngebäude",127,63
1994,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",19,13
1994,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",61,9
1994,"D",3,"3","Wohnhäuser mit Geschäftsräumen",24,21
1994,"D",4,"4","Nichtwohngebäude",125,96
1995,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",9,14
1995,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",39,7
1995,"D",3,"3","Wohnhäuser mit Geschäftsräumen",30,3
